,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
C(metric)[T.sbd]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.044,0.071,0.614,0.539,-0.096,0.183
C(metric)[T.shape_dtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.008,0.071,-0.109,0.913,-0.147,0.132
C(metric)[T.twe]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.168,0.071,2.366,0.018,0.029,0.307
C(metric)[T.wddtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.030,0.071,-0.419,0.675,-0.169,0.109
C(metric)[T.wdtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.008,0.071,0.117,0.907,-0.131,0.148
C(metric)[T.ddtw]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.003,0.071,-0.036,0.972,-0.142,0.137
C(metric)[T.dtw]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.011,0.071,-0.162,0.872,-0.151,0.128
C(metric)[T.edr]:C(noise_type)[T.missing]:C(intensity)[T.0.1],0.052,0.071,0.737,0.461,-0.087,0.192
C(metric)[T.erp]:C(noise_type)[T.missing]:C(intensity)[T.0.1],0.044,0.071,0.619,0.536,-0.095,0.183
C(metric)[T.euclidean]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.017,0.071,-0.243,0.808,-0.157,0.122
C(metric)[T.lcss]:C(noise_type)[T.missing]:C(intensity)[T.0.1],0.011,0.071,0.157,0.875,-0.128,0.150
C(metric)[T.manhattan]:C(noise_type)[T.missing]:C(intensity)[T.0.1],0.041,0.071,0.581,0.561,-0.098,0.181
C(metric)[T.minkowski]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.008,0.071,-0.110,0.912,-0.147,0.131
C(metric)[T.msm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],0.042,0.071,0.586,0.558,-0.098,0.181
C(metric)[T.sbd]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.002,0.071,-0.024,0.981,-0.141,0.138
C(metric)[T.shape_dtw]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.025,0.071,-0.348,0.728,-0.164,0.115
C(metric)[T.twe]:C(noise_type)[T.missing]:C(intensity)[T.0.1],0.042,0.071,0.592,0.554,-0.097,0.181
C(metric)[T.wddtw]:C(noise_type)[T.missing]:C(intensity)[T.0.1],0.039,0.071,0.543,0.587,-0.101,0.178
C(metric)[T.wdtw]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.011,0.071,-0.150,0.881,-0.150,0.129
C(metric)[T.ddtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.054,0.071,0.767,0.443,-0.085,0.194
C(metric)[T.dtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.003,0.071,-0.049,0.961,-0.143,0.136
C(metric)[T.edr]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.255,0.071,3.587,0.000,0.116,0.394
C(metric)[T.erp]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.157,0.071,2.204,0.028,0.017,0.296
C(metric)[T.euclidean]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.010,0.071,0.147,0.883,-0.129,0.150
C(metric)[T.lcss]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.247,0.071,3.479,0.001,0.108,0.387
C(metric)[T.manhattan]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.128,0.071,1.797,0.072,-0.012,0.267
C(metric)[T.minkowski]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.010,0.071,0.147,0.883,-0.129,0.150
C(metric)[T.msm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.162,0.071,2.283,0.022,0.023,0.301
C(metric)[T.sbd]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.021,0.071,0.293,0.770,-0.118,0.160
C(metric)[T.shape_dtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.012,0.071,-0.169,0.866,-0.151,0.127
C(metric)[T.twe]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.138,0.071,1.945,0.052,-0.001,0.278
C(metric)[T.wddtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.056,0.071,0.790,0.429,-0.083,0.195
C(metric)[T.wdtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.010,0.071,-0.136,0.892,-0.149,0.130
C(metric)[T.ddtw]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.102,0.071,1.429,0.153,-0.038,0.241
C(metric)[T.dtw]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.000,0.071,-0.002,0.998,-0.139,0.139
C(metric)[T.edr]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.093,0.071,1.303,0.193,-0.047,0.232
C(metric)[T.erp]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.053,0.071,0.739,0.460,-0.087,0.192
C(metric)[T.euclidean]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.017,0.071,-0.242,0.809,-0.156,0.122
C(metric)[T.lcss]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.043,0.071,-0.605,0.545,-0.182,0.096
C(metric)[T.manhattan]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.053,0.071,0.742,0.458,-0.087,0.192
C(metric)[T.minkowski]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.035,0.071,-0.499,0.618,-0.175,0.104
C(metric)[T.msm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.051,0.071,0.717,0.473,-0.088,0.190
C(metric)[T.sbd]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.008,0.071,-0.112,0.910,-0.147,0.131
C(metric)[T.shape_dtw]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.025,0.071,-0.349,0.727,-0.164,0.115
C(metric)[T.twe]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.051,0.071,0.719,0.472,-0.088,0.190
C(metric)[T.wddtw]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.125,0.071,1.757,0.079,-0.014,0.264
C(metric)[T.wdtw]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.002,0.071,0.029,0.977,-0.137,0.141
C(metric)[T.ddtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.160,0.071,2.255,0.024,0.021,0.300
C(metric)[T.dtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.020,0.071,0.280,0.780,-0.119,0.159
C(metric)[T.edr]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.280,0.071,3.938,0.000,0.141,0.419
C(metric)[T.erp]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.138,0.071,1.946,0.052,-0.001,0.278
C(metric)[T.euclidean]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],-0.003,0.071,-0.035,0.972,-0.142,0.137
C(metric)[T.lcss]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.202,0.071,2.838,0.005,0.062,0.341
C(metric)[T.manhattan]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.065,0.071,0.921,0.357,-0.074,0.205
C(metric)[T.minkowski]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],-0.003,0.071,-0.035,0.972,-0.142,0.137
C(metric)[T.msm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.143,0.071,2.010,0.044,0.004,0.282
C(metric)[T.sbd]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.011,0.071,0.159,0.874,-0.128,0.151
C(metric)[T.shape_dtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],-0.017,0.071,-0.245,0.807,-0.157,0.122
C(metric)[T.twe]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.136,0.071,1.914,0.056,-0.003,0.275
C(metric)[T.wddtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.148,0.071,2.079,0.038,0.008,0.287
C(metric)[T.wdtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.017,0.071,0.236,0.813,-0.122,0.156
C(metric)[T.ddtw]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.127,0.071,1.794,0.073,-0.012,0.267
C(metric)[T.dtw]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.037,0.071,0.521,0.602,-0.102,0.176
C(metric)[T.edr]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.105,0.071,1.484,0.138,-0.034,0.245
C(metric)[T.erp]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.067,0.071,0.939,0.348,-0.073,0.206
C(metric)[T.euclidean]:C(noise_type)[T.missing]:C(intensity)[T.0.4],-0.047,0.071,-0.667,0.505,-0.187,0.092
C(metric)[T.lcss]:C(noise_type)[T.missing]:C(intensity)[T.0.4],-0.095,0.071,-1.330,0.184,-0.234,0.045
C(metric)[T.manhattan]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.018,0.071,0.250,0.803,-0.122,0.157
C(metric)[T.minkowski]:C(noise_type)[T.missing]:C(intensity)[T.0.4],-0.021,0.071,-0.302,0.763,-0.161,0.118
C(metric)[T.msm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.058,0.071,0.811,0.417,-0.082,0.197
C(metric)[T.sbd]:C(noise_type)[T.missing]:C(intensity)[T.0.4],-0.035,0.071,-0.488,0.626,-0.174,0.105
C(metric)[T.shape_dtw]:C(noise_type)[T.missing]:C(intensity)[T.0.4],-0.022,0.071,-0.311,0.756,-0.161,0.117
C(metric)[T.twe]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.066,0.071,0.923,0.356,-0.074,0.205
C(metric)[T.wddtw]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.179,0.071,2.516,0.012,0.040,0.318
C(metric)[T.wdtw]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.046,0.071,0.646,0.518,-0.093,0.185
C(metric)[T.ddtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.166,0.071,2.331,0.020,0.026,0.305
C(metric)[T.dtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.007,0.071,0.096,0.923,-0.132,0.146
C(metric)[T.edr]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.191,0.071,2.687,0.007,0.052,0.330
C(metric)[T.erp]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.108,0.071,1.519,0.129,-0.031,0.247
C(metric)[T.euclidean]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.021,0.071,0.296,0.767,-0.118,0.160
C(metric)[T.lcss]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.114,0.071,1.606,0.108,-0.025,0.253
C(metric)[T.manhattan]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.001,0.071,0.017,0.986,-0.138,0.140
C(metric)[T.minkowski]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.021,0.071,0.296,0.767,-0.118,0.160
C(metric)[T.msm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.130,0.071,1.833,0.067,-0.009,0.269
C(metric)[T.sbd]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],-0.044,0.071,-0.614,0.539,-0.183,0.096
C(metric)[T.shape_dtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.001,0.071,0.013,0.989,-0.138,0.140
C(metric)[T.twe]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.136,0.071,1.918,0.055,-0.003,0.276
C(metric)[T.wddtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.164,0.071,2.310,0.021,0.025,0.303
C(metric)[T.wdtw]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],0.019,0.071,0.262,0.793,-0.121,0.158
C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],0.036,0.071,0.506,0.613,-0.103,0.175
C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.111,0.071,1.557,0.120,-0.029,0.250
C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],0.023,0.071,0.320,0.749,-0.117,0.162
C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.105,0.071,1.474,0.140,-0.035,0.244
C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.010,0.071,-0.138,0.890,-0.149,0.129
C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.046,0.071,0.647,0.518,-0.093,0.185
C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],-0.038,0.071,-0.536,0.592,-0.177,0.101
C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.4],-0.043,0.071,-0.601,0.548,-0.182,0.097
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.077,0.100,-0.767,0.443,-0.274,0.120
C(metric)[T.dtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.006,0.100,-0.062,0.951,-0.203,0.191
C(metric)[T.edr]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.065,0.100,-0.642,0.521,-0.262,0.132
C(metric)[T.erp]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.040,0.100,-0.401,0.689,-0.237,0.157
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.018,0.100,-0.183,0.855,-0.215,0.179
C(metric)[T.lcss]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.065,0.100,-0.642,0.521,-0.261,0.132
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.028,0.100,-0.275,0.783,-0.225,0.169
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.006,0.100,-0.061,0.951,-0.203,0.191
C(metric)[T.msm]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.029,0.100,-0.292,0.770,-0.226,0.168
C(metric)[T.sbd]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.004,0.100,-0.036,0.971,-0.201,0.193
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],0.010,0.100,0.104,0.917,-0.187,0.207
C(metric)[T.twe]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.036,0.100,-0.357,0.721,-0.233,0.161
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.040,0.100,-0.398,0.691,-0.237,0.157
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.05],0.050,0.100,0.497,0.619,-0.147,0.247
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.142,0.100,-1.410,0.158,-0.339,0.055
C(metric)[T.dtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.011,0.100,0.112,0.911,-0.186,0.208
C(metric)[T.edr]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.125,0.100,-1.244,0.213,-0.322,0.072
C(metric)[T.erp]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.037,0.100,-0.369,0.712,-0.234,0.160
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.031,0.100,-0.312,0.755,-0.228,0.166
C(metric)[T.lcss]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.108,0.100,-1.071,0.284,-0.305,0.089
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.036,0.100,-0.360,0.719,-0.233,0.161
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.031,0.100,-0.312,0.755,-0.228,0.166
C(metric)[T.msm]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.049,0.100,-0.485,0.627,-0.246,0.148
C(metric)[T.sbd]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.011,0.100,-0.113,0.910,-0.208,0.186
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.011,0.100,0.114,0.909,-0.186,0.208
C(metric)[T.twe]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.043,0.100,-0.426,0.670,-0.240,0.154
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.167,0.100,-1.658,0.097,-0.364,0.030
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.05],0.049,0.100,0.491,0.624,-0.148,0.246
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.086,0.100,-0.858,0.391,-0.283,0.111
C(metric)[T.dtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],0.007,0.100,0.069,0.945,-0.190,0.204
C(metric)[T.edr]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.043,0.100,-0.430,0.667,-0.240,0.154
C(metric)[T.erp]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.036,0.100,-0.361,0.718,-0.233,0.161
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.000,0.100,-0.004,0.997,-0.197,0.197
C(metric)[T.lcss]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.012,0.100,-0.123,0.902,-0.209,0.185
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.021,0.100,-0.206,0.837,-0.218,0.176
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.007,0.100,-0.069,0.945,-0.204,0.190
C(metric)[T.msm]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.021,0.100,-0.210,0.834,-0.218,0.176
C(metric)[T.sbd]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.007,0.100,-0.067,0.947,-0.204,0.190
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],0.027,0.100,0.270,0.787,-0.170,0.224
C(metric)[T.twe]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.015,0.100,-0.150,0.881,-0.212,0.182
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.080,0.100,-0.797,0.425,-0.277,0.117
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.1],0.047,0.100,0.468,0.640,-0.150,0.244
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.186,0.100,-1.847,0.065,-0.383,0.011
C(metric)[T.dtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.029,0.100,0.284,0.777,-0.168,0.225
C(metric)[T.edr]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.132,0.100,-1.309,0.191,-0.328,0.065
C(metric)[T.erp]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.035,0.100,-0.351,0.726,-0.232,0.162
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.001,0.100,-0.010,0.992,-0.198,0.196
C(metric)[T.lcss]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.088,0.100,-0.872,0.383,-0.285,0.109
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.011,0.100,0.112,0.911,-0.186,0.208
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.001,0.100,-0.010,0.992,-0.198,0.196
C(metric)[T.msm]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.030,0.100,-0.294,0.769,-0.226,0.167
C(metric)[T.sbd]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.022,0.100,-0.218,0.828,-0.219,0.175
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.005,0.100,0.049,0.961,-0.192,0.202
C(metric)[T.twe]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.014,0.100,-0.139,0.890,-0.211,0.183
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.182,0.100,-1.815,0.070,-0.379,0.015
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.1],0.086,0.100,0.853,0.394,-0.111,0.283
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.064,0.100,-0.637,0.524,-0.261,0.133
C(metric)[T.dtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.015,0.100,0.148,0.882,-0.182,0.212
C(metric)[T.edr]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.044,0.100,-0.436,0.663,-0.241,0.153
C(metric)[T.erp]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.027,0.100,-0.265,0.791,-0.224,0.170
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.001,0.100,0.010,0.992,-0.196,0.198
C(metric)[T.lcss]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.006,0.100,0.064,0.949,-0.191,0.203
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.005,0.100,-0.052,0.958,-0.202,0.192
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.011,0.100,0.114,0.909,-0.185,0.208
C(metric)[T.msm]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.010,0.100,-0.095,0.925,-0.206,0.187
C(metric)[T.sbd]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.001,0.100,0.015,0.988,-0.196,0.198
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.017,0.100,0.167,0.867,-0.180,0.214
C(metric)[T.twe]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.003,0.100,-0.030,0.976,-0.200,0.194
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.074,0.100,-0.741,0.459,-0.271,0.123
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.2],0.026,0.100,0.258,0.796,-0.171,0.223
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],-0.135,0.100,-1.347,0.178,-0.332,0.062
C(metric)[T.dtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.035,0.100,0.353,0.724,-0.161,0.232
C(metric)[T.edr]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],-0.087,0.100,-0.865,0.387,-0.284,0.110
C(metric)[T.erp]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.023,0.100,0.230,0.818,-0.174,0.220
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.030,0.100,0.295,0.768,-0.167,0.227
C(metric)[T.lcss]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],-0.026,0.100,-0.259,0.796,-0.223,0.171
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.115,0.100,1.146,0.252,-0.082,0.312
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.030,0.100,0.295,0.768,-0.167,0.227
C(metric)[T.msm]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.028,0.100,0.276,0.783,-0.169,0.225
C(metric)[T.sbd]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],-0.025,0.100,-0.246,0.806,-0.222,0.172
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.054,0.100,0.535,0.592,-0.143,0.251
C(metric)[T.twe]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.016,0.100,0.158,0.874,-0.181,0.213
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],-0.139,0.100,-1.382,0.167,-0.336,0.058
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(noise_type)[T.outlier]:C(intensity)[T.0.2],0.073,0.100,0.724,0.469,-0.124,0.270
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.002,0.100,0.019,0.985,-0.195,0.199
C(metric)[T.dtw]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.008,0.100,0.078,0.938,-0.189,0.205
C(metric)[T.edr]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],-0.010,0.100,-0.101,0.919,-0.207,0.187
C(metric)[T.erp]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],-0.001,0.100,-0.011,0.991,-0.198,0.196
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.040,0.100,0.395,0.692,-0.157,0.237
C(metric)[T.lcss]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.003,0.100,0.028,0.978,-0.194,0.200
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.038,0.100,0.379,0.705,-0.159,0.235
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.017,0.100,0.173,0.863,-0.180,0.214
C(metric)[T.msm]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.009,0.100,0.093,0.926,-0.188,0.206
C(metric)[T.sbd]:C(classifier)[T.svm]:C(noise_type)[T.missing]:C(intensity)[T.0.4],0.017,0.100,0.173,0.862,-0.180,0.214
