metric,noise_type,contrast,diff,SE,z,p_raw,CI_low,CI_high,p_fdr
edr,jittering,I0.4-I0.0,-0.208895,0.035529,-5.8795,0.0,-0.278532,-0.139258,0.0
edr,jittering,linear_trend,-0.554284,0.079446,-6.9769,0.0,-0.709998,-0.39857,0.0
edr,missing,I0.05-I0.0,-0.004633,0.035529,-0.1304,0.896241,-0.074271,0.065004,0.9063111235955056
edr,missing,I0.1-I0.0,-0.019107,0.035529,-0.5378,0.590731,-0.088744,0.05053,0.6182068604651163
edr,missing,I0.2-I0.0,-0.04054,0.035529,-1.141,0.25386,-0.110177,0.029098,0.2736215568862275
edr,missing,I0.4-I0.0,-0.096343,0.035529,-2.7117,0.006695,-0.16598,-0.026706,0.00941484375
edr,missing,linear_trend,-0.24694,0.079446,-3.1083,0.001882,-0.402654,-0.091227,0.00196953488372093
edr,outlier,I0.05-I0.0,-0.039721,0.035529,-1.118,0.263572,-0.109358,0.029916,0.2823985714285714
edr,outlier,I0.1-I0.0,-0.062776,0.035529,-1.7669,0.077247,-0.132413,0.006861,0.09458816326530611
edr,outlier,I0.2-I0.0,-0.130919,0.035529,-3.6848,0.000229,-0.200556,-0.061281,0.0004041176470588236
edr,outlier,I0.4-I0.0,-0.251036,0.035529,-7.0656,0.0,-0.320673,-0.181399,0.0
edr,outlier,linear_trend,-0.62194,0.079446,-7.8285,0.0,-0.777653,-0.466226,0.0
erp,jittering,I0.05-I0.0,-0.051391,0.035529,-1.4464,0.148056,-0.121028,0.018247,0.166563
erp,jittering,I0.1-I0.0,-0.070233,0.035529,-1.9768,0.048068,-0.13987,-0.000596,0.06136340425531915
erp,jittering,I0.2-I0.0,-0.11834,0.035529,-3.3308,0.000866,-0.187977,-0.048702,0.0013794690265486727
erp,jittering,I0.4-I0.0,-0.205781,0.035529,-5.7919,0.0,-0.275418,-0.136143,0.0
erp,jittering,linear_trend,-0.487114,0.079446,-6.1314,0.0,-0.642828,-0.331401,0.0
erp,missing,I0.05-I0.0,-0.047319,0.035529,-1.3318,0.182911,-0.116957,0.022318,0.20177121951219512
erp,missing,I0.1-I0.0,-0.06479,0.035529,-1.8236,0.068217,-0.134427,0.004847,0.0841031506849315
erp,missing,I0.2-I0.0,-0.085972,0.035529,-2.4198,0.015531,-0.155609,-0.016335,0.021178636363636365
erp,missing,I0.4-I0.0,-0.131902,0.035529,-3.7125,0.000205,-0.20154,-0.062265,0.00036534653465346533
erp,missing,linear_trend,-0.293027,0.079446,-3.6884,0.000226,-0.448741,-0.137313,0.00025425000000000003
erp,outlier,I0.05-I0.0,-0.156537,0.035529,-4.4059,1.1e-05,-0.226174,-0.086899,2.3023255813953485e-05
erp,outlier,I0.1-I0.0,-0.198444,0.035529,-5.5854,0.0,-0.268081,-0.128806,0.0
erp,outlier,I0.2-I0.0,-0.277836,0.035529,-7.8199,0.0,-0.347473,-0.208199,0.0
erp,outlier,I0.4-I0.0,-0.330974,0.035529,-9.3156,0.0,-0.400611,-0.261337,0.0
erp,outlier,linear_trend,-0.710595,0.079446,-8.9444,0.0,-0.866309,-0.554881,0.0
euclidean,jittering,I0.05-I0.0,-0.054935,0.035529,-1.5462,0.122057,-0.124572,0.014702,0.14266402597402597
euclidean,jittering,I0.1-I0.0,-0.072597,0.035529,-2.0433,0.041023,-0.142234,-0.00296,0.05312330935251798
euclidean,jittering,I0.2-I0.0,-0.120362,0.035529,-3.3877,0.000705,-0.189999,-0.050725,0.0011432432432432432
euclidean,jittering,I0.4-I0.0,-0.211252,0.035529,-5.9459,0.0,-0.280889,-0.141614,0.0
euclidean,jittering,linear_trend,-0.497076,0.079446,-6.2568,0.0,-0.65279,-0.341363,0.0
euclidean,missing,I0.05-I0.0,-0.086853,0.035529,-2.4445,0.014503,-0.15649,-0.017216,0.019927786259541985
euclidean,missing,I0.1-I0.0,-0.128445,0.035529,-3.6152,0.0003,-0.198083,-0.058808,0.0005192307692307692
euclidean,missing,I0.2-I0.0,-0.157693,0.035529,-4.4384,9e-06,-0.22733,-0.088056,1.9285714285714285e-05
